text,keyword
"Lu bego gatau mana sereh, serai, sirih anj sama gatau mana emot banteng mana emot kebo ama emot sapi jelek bat dah lu ama aboy samanye",bego lu
hehhh bego ngabole! masa baru kenal dah ilang aja lu,bego lu
"Orng bego kek lu gabisa mati, disuruh balik ke alamnya sono tp ga mati soalnya ga ngerti perintah. Ksl gue",bego lu
"bego dipiara, kambing lu piara biar gede",bego lu
Bener klu lu sering ngatain gue gak pinter.. udh tahu sia-sia masih aja gue bikin kado buat lu. Bego kan gue!!,bego lu
"ARAY LU BEGO,TP GUE BANGGA GMN DONG?",bego lu
"Lu yg apa2 pake ati, bego pa gimana si ? Klo baca tu pake mata, bukan pake baper.",bego lu
"Lah ko gue, kan gue bilang kalo gak deg2an lu gak punya jantung, trs lu jawab iya bego, berarti lu bego ",bego lu
ya muka lu ama gua pan sama bego,bego lu
News Tech - News Tech,bego lu
NAPA LU CA BEGO,bego lu
duh bego tuh jgn dipelihara soang tuh pelihara biar dicocot congor lu!!!!,bego lu
tiap saat bego lu ,bego lu
"Kalo lu percaya ma laki lu ngapain ngepoin temen2nya pake fake akun. Bego pa gimana si ? Laki lu sendiri yg cerita mergokin lu punya sampe 4 akun fake di hape lu. Etdah, heran",bego lu
lahhh udh bego banyak nuntut pula brisik lu ikan,bego lu
"Yg suka ngebut berisik malem2 di villa cinere mas, gua gamparin lu atu2! Gausa caper bego",bego lu
"Gaada saran. Lu bego. Dah, that's it. Let her go, please? lu harus tegas, bisa mutusin doi. Biarin dia dapet yang lebih baik dari lu dengan terang-terangan lu putusin daripada lu kasarin dan buat dia overthinking.",bego lu
"udahan gih cengengesannya. cape sendiri kan lu keterusan bersikap bego buat menyenangkan ..udah waktunya juga ko diumur segini nunjukin sifat asli, mau dijauhin silakan engga juga yaa gidah. simple ko, take it or leave it.",bego lu
iya udah lu pinter gua bego,bego lu
Emang kan lu bego,bego lu
((sama aja kek kelakuan fandom lu bEgO)) KENAPA AKU NGAKAK SIH ,bego lu
"Mkin tua mkiin bego sj lu,,",bego lu
"Cewek lu selingkuh , dan elu tau Tapi lu masih stay , bego gk sih ? #bertanya",bego lu
@hayckal4 jangan bego lu jadi orang,bego lu
Dari aku untuk aku Tidur bego gaada yang peduli meskipun lu ga tidur anjinc,bego lu
"SEREM LU BEGO. UDAH LU TIDUR AJA, LU KEBANYAKAN NGERJAIN MISI.",bego lu
"""Ya elu enak pinter. Kita bego"" Lah lu pikir kita2 yg rajin nugas dah yakin bakal dpt A apa? Mo bisa ngerjain tugas? Mo bisa dapet nilai A? Mo lebih hemat duit? BELAJAR YG BENER ANJING",bego lu
Lu gitu tapi bego yakan ngaku aja lu!!! Sayang bae lu ga bisa gitu wkwkwkw,bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
Lah kok lu bego sih wis,bego lu
"Mana ada cewe yg tahan lu tuduh kek gitu, bego!!",bego lu
Bego woey rika gaada akhlak emang awkwkwk Dedlen lu selesein duluu sonooo @rikanuryahyani,bego lu
"Keyza latah pdhl lu jarang dengerin Sp0tify key Mampus ngga lu, bego bgt ",bego lu
emang bego lu ,bego lu
"lu aja mbal, males gua jelasin ke dia bego, susah ngertinya.. wkwk",bego lu
NGAKAK knp lu mau aja jelasin gue cm pura2 bego,bego lu
"Bego lu Du, aaah !!",bego lu
"Dah lah buat lu lu pada yg males baca dan gak pinter mending ga usah sok""an belanja di onlenshop, jelas"" lu yg bego malah nuduh sellernya nipu ",bego lu
"Wahahaha jingan lu mah, gw ni lagi nyoba so sweet bego",bego lu
Soalnya lu bego,bego lu
Kasih paham. Bego bener lu wkwkwkww,bego lu
Makanya gowes sendirian jangan rame2 nanti lu yg bego gowesnya rombongan lu yg kena imbasnya,bego lu
Si bego Yg lu ceritain tadi pagi lah ,bego lu
dan lu cm bisa ngangguk2 bego krna baru tau dan ngomong 'aaa paham2',bego lu
"YA LGIAN LU BEGO, KAN DIA NEMBUS TRS UPILNYA JATOHAN TRS DONG GARA² GK ADA TEMPAT BIAT NEMPEL. LGIAN SI MBA KUNTI KLO MAU NGUPIL BILANG DLU KE LU KLI KLO MAU MEPER",bego lu
"Eh iya ya, bener juga. Kenapa lu pinter banget dan gua bego gak kepikiran",bego lu
"Sadar bego,lu di butuhin pas dia gabut doang ",bego lu
"cie kena prank psti ngira bnyak yg komen ""cant wait next eps"" taunya pd ngeh lu plagiat trus pura2 bego g bls email kshawol cie cie cie dakjal #사이코지만_괜찮아_종현가사_표절해명해",bego lu
"sadar bego, lu tuh bukan prioritasnya lagi!",bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
"Ga ngerti gua jalan pikiran nih laki berasa lo ganteng bgt kali, terus dia blg tu divnnya ""ngapain pake kerudungan ngomongnya aja masih anjing2an"" dih paansi tai kampungan bego lu ",bego lu
Tumben lu bego sekali,bego lu
lu pdhl sama @svveetiekth juga bego ,bego lu
lah lu bego,bego lu
Malah bikin garespect ajaa. Sebel njir bego lu ah:(,bego lu
OH IYA AH BEGO UNTUNG LU INGETIN,bego lu
Udah jgn pada dipraktekin lu pada kaya orang bego ntar,bego lu
lu bego sombong kesel aja gw,bego lu
iaya krn LU EMANGF BEGO..MAKANYA HRS DI AJARIN SUPAYA LU TAMBAH DUNGU....WKWKWW,bego lu
Lah Tirto mah lu edit Paul .. lu kira gue orang bego kaya lu,bego lu
apalagi Koment Lu ..sangat dangkal sekali....Sok PINTAR Tp BEGO...wkwkwkw Main FITNAH lg....ahahah,bego lu
"NGAKAK LU SIH HRSNY LO TAROK ""GW PURA PURA BEGO YA""",bego lu
GA LUCU BEGO JOKES LU! Kalo lu denger nih.. knapa ga lu duluan aja.. kan lu denger kalo tuhan manggil lu ,bego lu
Sudah DUNGU...Tukang FITNAH lg... Ketahuan Lu BEGO...wkwkwk,bego lu
"Lu kenapa bego,ngajak gelud ? Jgn ampe gue dance ""how you like that"" ya",bego lu
Buat yang suka nungguin padahal dia nya gak peduliin lu. Maaf kalo saya bilang kamu bego. Saya kira kamu udah tau.,bego lu
eh bego lu tau ga si ngumpulin heart ga gampang trus bisa bisanya lu banned fanbase gede begitu punya otak ga lu hah atau mau gw isi pala lu yang kosong itu pake naget karna gaada otak otak #SOBAtreatEXObetter,bego lu
Kalo chatlu udh gw paku berarti lu spesial bego,bego lu
"Wkwkwk denialkan, emang bego lu Kok malah ibn katsir rosul sih? Jelas jg sy sebut dia ahli tafsir Bro utk sampe quran n sunnah itu susah, lu ga usah denial, guru lu jg banyak belajar dari kitab kuning, cuman pas nyampe ke elu otak lu ga nyampe Taunya quran juga cuma terjemahan",bego lu
Pe'a apa bego lu anjirr,bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
KAN LU EMNG PESEN BEGO BUAT BESOK ,bego lu
"Ya emang.. Tapi karna lu orngnya bego gk mau cari tau dulu kebenarannya, jadi di mata gua lu tetap salah ",bego lu
Kerja bego. Ngabisin duit aja jago lu.,bego lu
@adkth_ bego lu!!!,bego lu
bego bener dah ini mata lu besok bengkak De kalau begini caranya,bego lu
iaya Lu BEGO Sih makanya Share gambar tidak bs kasih penjelasan...wkwkwwk,bego lu
gue sih lebih percaya lg Lu dungu dan BEGO...wkwkkw,bego lu
ah lu mah bego,bego lu
bego lah sampe lu debut di txtdrikpopers,bego lu
Bego lu y anjir cantik2,bego lu
Definisi tmn lucknut = Kok bisa si jul lu sepolowan sm dia? Coba si pinjem ig lu jul gua mau liat cowonya yg mana.. *eh taunya kelove* yah jul kelovee *sambil masang muka bego* Bskbsknya gua diliatin sinis sama cwenya :)) pen bgt bilang bukan gua yg stalk cowo lu plisssss ,bego lu
Ya siapa suruh lu suka bego plin plan bikin gemes liatnya,bego lu
Itu gua bego lu,bego lu
obat lu habis ya jd BEGO gitu komentnya....ahahaha,bego lu
Lu juga jangan bego ya,bego lu
"Gak bego cuy, bener langkah lu, selesain dulu yang satu ampe bener-bener gak tersisa lagi, baru start with the new one",bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
"Dasarr begoo Makanya ikhlasin biar cepet mupon Laki gak dia doang, Lu juge berhak bahagia. DASAR BEGO",bego lu
dih bego bgt lu mul,bego lu
"karna lu bego, jd gue merasa lebih pinter xixixi ",bego lu
"Halo tetangga anjing yg punya gelar haji tapi gk punya otak, suka seenaknya naro pager di depan rumah tempat biasa gua parkir motor dan itu ganggu orang lewat, kalo di bilangin malah ngotot merasa paling bener, udah tuir gk punya otak malu ama gelar lu kontol, fuck orang bego.",bego lu
"Anjir lampu disko, JAMET BANGET LU BEGO RA",bego lu
"Eh bambang gak usah bego deh,sekolah lu mahal masa iya mau aja jadi pengemis karna cinta!!!",bego lu
Muka lu tua bego mal ga konsisten sama umur luuu aslii,bego lu
Bego bgt lu na istg aja kagak tau ,bego lu
Parah lu bego @gilangridhoo,bego lu
gitu? IDIE KONTOL WOI SEHAT LU? WKWK NGAKAK SI STOCK BEGO NYA GA ABIS ABIS YHAAA KASIAN YHAAAAA,bego lu
Temen lu bego,bego lu
"pacaran bertahun tahun putusnya sehari doang. trus slama ini lu ngapain aja bego, jualan gorengan?",bego lu
"Begonya @VIVAcoid ini...apa hbungannya pekok,cuma 2 alpard mah kbeli dia kan jd dokter sblmnya... Bego lu media bakrie ",bego lu
hahha tolol bgt nya nya. lu pikir kesalahan kecil gakan menghasilin kesalahan fatal bego bgt annya emg,bego lu
"LU PIKIR DIKATAIN BELI VIEWERS GAK SAKIT HA? KITA RELA 4 HARI GAK TDR NYENYAK NONSTOP STREAMING LU PIKIR ENAK HA? DITUDUH BAYAR INI ITU, KE COACHELLA DIBILANG NYOGOK MENANG PCA HASIL CURANG INGAT JANGAN BEGO DEH BAHKAN KALIAN SAMPAI TRENDING HASTAG YA TAHUN LALU",bego lu
Kalo gak deg degan lu mati bego,bego lu
"Woy bocil, mending pada belajar gih buat masa depan kalian daripada war ngurusin fandom orang lain, pinter kaga bego iya, lu terlalu muda buat ngomong hal yang gak sopan. Mending belajar gimana cara yang baik untuk mengagungkan idol lo oke dan berhenti nyebut Army sebagai kremy",bego lu
Ya iyalah orang lu udah punya pacar bego,bego lu
Install cas biar lu jdi bego,bego lu
Cewek lu bego urus,bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
"harusnya malu bego lu nginep rmh gue kayak gk pny rumah aja pake baju begaya alim tapi sholat masih bolong, trs di rmh gue masih pke daster pndek padahal ada bapak gue org mah malu anjr jdi cewek ",bego lu
"Lu yang repot bego, orang gua cuma nanya",bego lu
berasa kenal deket lu ama gue? cih sapa lu bego? org asing aja jn sok tau tntng keluarga gue ,bego lu
"Jadi bucen 3 tahun dari awal masup sma tapi akhirnya dia jadian ama yg lain. Dan dia bilang "" yahh lu telat sih :') "" emang gua yg bego sih ",bego lu
"kalo misalkan gua ngelawak ampe kya orang bego+tolol+alay gitu itu biar lucu napa biar lu pada ketawa, tapi bukan berarti itu sifat aseli gua amjinc",bego lu
"sugest bego doy, lu sehat bego doy itu cuman sugest doang",bego lu
Iya dn lu rkyt yg bego ny wkwkwk,bego lu
Gua tau lu pura pura bego makanya gua ngakak wkwk,bego lu
Emg lu gapunya bego?!,bego lu
"Sebenerny sih ya bagusnya diomongin baik2, tapi mending ceplosin balik, mulut lu bau tai kotok bego.",bego lu
Dpl gua nelfon suruh buat video tentang pencegahan covid di era newnormal. Lu kira semudah itu? Tolongg gua msih bego ya bgsd ,bego lu
Ya emng lu nya aja bego,bego lu
bego kek lu,bego lu
essence nya lu buang bego namanya,bego lu
Otak lu tuh yang kenapa. Bego ,bego lu
bego lu ah ,bego lu
kan lu yang mau maling bego,bego lu
Bego sih emang lu cin. Lolot,bego lu
Ga cocok lu bego cocoknya jd ubab,bego lu
"Bacot anying... Bocah tholol sok tau,sok pinter gblok bego... Lu Klo KLO IRI BILANG AJA BOSSSS.!!!!!!",bego lu
"The #GlobalPartnershipForEducation shapes school policies in developing countries which it calls ""partners."" Its CEO is from the USA, its board chair from Australia, the evaluation team from Western Europe. What kind of a ""partnership"" is this, really? https://karmacolonialism.org/who-should-evaluate-the-global-partnership-for-education/",bego lu
Bego lu njr wkwk mn sempet mereka mikir mau bikin pinned estetik gt ngadi² lu wkwk,bego lu
Lu ngotak bego,bego lu
"versi aku? ""kalo gabisa cantik, jadi pinter dan baik"" merasa bego? gpp. kalo lu bisa, mungkin hal buruk bakal terjadi perbanyak selfie :( selalu bilang, semua cewek itu cantik. kalo g cantik, gue buta",bego lu
"udh caper bego lg lu nder, skip",bego lu
"Awalnya nyobain punya mama, trs kaya ih enakk trs buat sendiri eh malah nagih minta ke bapa dibeliin,langsung aku bikin kan ya, masa mama aku bilng ""kecanduan lu bego nanti"" Iya si emng kmrn abis minum kopi aku tidur jam set5 tapi kan enak mau gmn lagi ",bego lu
Laporin aja klo Lu tau markasnya... Apa lu hanya omdo...ikut2an orang bego aja... teriak2 PKI tapi kagak tau markasnya... PIKI I BINGSIT...TIRIRIS INJING.... ogeB... koplak... ,bego lu
"Putus, lu mau nyakitin diri sendiri? Jangan bego hubungan toxic ga baik dipertahanin",bego lu
"di twitter sama di rl itu gabisa di samain bego, jadi buat rl yaudah cukup tau aja ya gausa banyak omong kesana kemari deh anjing, lu tau twitter ga si goblok??!",bego lu
Plis lah jangan bego! Masih banyak orang di luaran sana yang bisa berjuang bareng lu.,bego lu
bego bgt lu,bego lu
"lu juga sama aja su, gblk murni tambah bego murni lagi ",bego lu
"jdi begini ya, gue dulu pernah digituin sama stranger dia beruntung bisa nonjok lah gue? cmn diem karena ga tau hrus apa, gimana mau mikir pegang hp?? ya kali lu mikir ""ah gw dcolek nih pto orngny ah"" BEGO BGT OTAK LU ANJG",bego lu
"Ya kalo cp lu kaga bisa diajak imagine rated, ya tahan bego! Bukan nyari pelampiasan gitu:) cpan ga harus tentang rated kalo lu lupa. Makan tuh nyesel. Ntr adek lo ngaku hamil, siap buat tanggung resiko.",bego lu
"Lu aja, kan lu paling bego",bego lu
"⠀""Aw aw diciummm,"" ucap Aryana terkekeh geli melihat Neron yang mencium kening hanabi. ""Ya lu minta apa bego,"" ketus Aryana memukul lengan Leo, kadang temannya ini berpikiran aneh-aneh. ""Jangan ngadi-ngadi lu astagaa."" @codeIogic",bego lu
lu ngapa bego mek,bego lu
Mundur bego dia gasuka lu,bego lu
BERLEBIHAN ANJRIT SAMPE BAWA BAWA AUT1S BEGINI. BEGO. BISA BISANYA KAYA GITU LU JADIIN BECANDAAN?????,bego lu
bego lu,bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
Gwe jg stay bego monmaap bkn lu doang ,bego lu
"""Masa depan mah udh di atur sm yg di atas"" iya tau, tpi kalo lu ga usaha ya percuma, bego ahh kesel deh :)",bego lu
"ya gamau la bego, gada otak lu ye!!",bego lu
lu usaha bego,bego lu
emng lu bego dri lahir,bego lu
"Jangan kebanyakan ngewe,ntar lu jadi bego.",bego lu
lu ketuanye bego,bego lu
Ya liat tujuannya la cuy kalo tujuannya biar di notice orang ya bakal bego kalo sepi tapi kalo emang berbagi pendapat yang ada diotak lu tanpa mikir panjang pun tetep di spill dan sans aja,bego lu
Ya wajar lu bego.,bego lu
Ya lu bego sbl w,bego lu
diketawain knetz lu masi bego aja ,bego lu
Coy drpd koar2 angka kemiskinan turun mending lu cek ke BPS brp standar yg dianggap miskin skrg. Lo tau gmn cra nurunin angka kemiskinan? Turunin standar penghasilan harian yg dikategorikan miskin. Mknya jml yg miskin turun krn standar yg ga sesuai standar internsional. Jgn bego.,bego lu
Tmn gue nge sw btw dia kremi trus sw nya keanya untuk gua doang ttg yg lg tr3ndndi ht mrk. ke yg lain disembunyiin soalnya gue tnya tmn yg laen gaada di mrka.Bahlul emng lu g kepancing gue bego wkwk,bego lu
bayangan lu di cermin lah bego,bego lu
Lu lebih tua bang :( bego,bego lu
"iya tau lu sayang sama cp lu, tapi jangan sampe bego juga kan jadi nya sakit",bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
Bego si di bohongin mau aja lu,bego lu
kalo emng lu ga syg jngan kasih harapan lebih bego,bego lu
mampus lu jadi bego,bego lu
"~ Bodoh''.... dah tau dya gk bkal intrest ma lu Ney... Tp kenapa lu msh aj ngarep'', dasar bego...!!",bego lu
Anjingnya knp? Lu apaan bego,bego lu
Lu bego sadar,bego lu
"Klo aku sih ngesaltyin diri sendiri gini ""mau ketemu bangtan? Belajar. Bangtan gak nerima orang bego kayak lu. Diketawain namjoon nanti""",bego lu
gaakan efektif kalo lu kesini indo lagi ra tar bego lagi wkwk,bego lu
sakit bego lu mau gw gendong?,bego lu
"OHHH WKWKW NGAKAK Kapan lu nyobain gue bego, enak aja ngatain pedes",bego lu
"W tuh sebenernya fast respon. Cuma LU PENGECUALIAN BEGO! Males aja bales chat dari lu anying. Sadar dong ! Tolong bgt ini mah. W anaknya ga enakan anjay! Tolonglah kalo udah dibalesnya stiker jangan chat lagi, gobolkmu lagi malah ganti topik. Rasanya pengin tak hiihhhhh",bego lu
"TEMEN2 GUA PADA BEGO KALI YA?!?! gua pc mereka atu atu sebut nama sambil bilang kangen pake capslock malah pada bales ""bentar bentar kangen siapa lu?"" auamat anying",bego lu
Bangun ji udh magrib nnti lu bego,bego lu
"Gaada lha, bego. Sekali nyoba selingkuh bakal terus terusan begtu. Emg lu mau punya hubungan toxic trs?",bego lu
"Oke lanjut disini. Dipikir debut ga butuh perjuangan apa?! Enak aja kalo ngomong ""ga ada visual"" ""gak punya talenta"" ""ga bisa nyanyi, dance"". HEH LU PIKIR DEBUT TUH ASAL?! ORANG GILA BISA DEBUT?! GA PUNYA TALENTA BISA DEBUT?! GAK LAH BEGO.",bego lu
"nih mngkn lu gtau arti kata ""I PURPLE YOU"" ya scr otak lu kan gada, jd gw ksh tau nih. mo lu mnta maaf jg lukanya ttp ada bego,Bru ini gw mau speakup pas fandom war krn asli ini lbh nyakitin.. jgn lupa skrg bighit udh turun tgn,army bs aj laporin @hellosunshinezz ",bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
"Definisi Tolol itu ketika belum jadian udah so soan post Foto sama majang Nama di bio #Tau diri dikit napa sih lu bego, Kesel gua",bego lu
Bego lu yg ngebaca ajg,bego lu
"Eh gblok,hidup lu kurang hiburan? Orang2 buat video YouTube untuk hiburan,w nonton YouTube untuk hiburan. Dan dia para youtuber itu bisa berkreasi di bidang YouTube. Daripada lu apaan? Otak lu sampah makanya lu gak bisa jadi youtuber tholol bego. Emang lu gak nonton YouTube?dungu",bego lu
Yos lu harus tiktokan biar kalo berak tbtb mgewoah aseli bego bgt,bego lu
"@IndiHome dosa lu banyak bgt bego, boongin orang mulu",bego lu
BEGO AH GASIK LU MEN,bego lu
bacot bego lu ngomel mulu,bego lu
Di jalan bego lu bisa bahasa indo ga sih ,bego lu
Lu ga bawa hp ke toilet tiba tiba ditelpon ama boss kena lu Bego,bego lu
mau apa? Liat lu boker? Bau bego!,bego lu
Norak banget lu bego,bego lu
"Jangan kehidupan aja yang berprogress, otak lu juga diprogress biar ga bego mulu.",bego lu
jadi ya intinya jangan bego bego amat jadi orang kasian temen se pendom lu malu ,bego lu
"Kl gaji lu gede, kenapa ga nikahin aja? Kenapa malah ngajak pacaran? Kenapa malah pamer duit? Kenapa lu bego sih? WKWKWKWK.",bego lu
Inget inget tuh kata heenim 'lu bego beneran kalau sampai bisa di begoin donghae' ,bego lu
"klo ga ikhlas ngidupin anak, ga ikhlas biayain sekolah biayain kuliah ya KAGA USAH BEGO. Siapa yg minta dibiayain ntoh. sukur2 ya nih anak lu punya ip always 3.6 keatas.. kmren sekalinya turun cuman dikit kena 3.5 uda ngomel.. anjing emgs",bego lu
"kalo ga stan kpop anak lu satu ini uda mati dari lama bego. lu gatau aja perjuangan dia ngelawan insecure, depresi, stress dll setaunan kmren.. yaya sih lu aja ga peduli anjing. skrg ngomong nge stan kpop ga ada guna nya.. ya lu mikir aja gua ga ngobat, ga minumㅡ",bego lu
"gw td ke alfa,, eh nemu vespa si pino (simpenannya).. ternyata moms gw ga jenguk dia,, tp ketemuan di alfa trs pergi bareng.waw.. MOTOR LU JGN DI PARKIR DI ALFA LAH BEGO KAN KELIATAN SM GUE,, tolol anjing bego ",bego lu
bego lu,bego lu
"nge body shaming yg gendut gaboleh, tapi nge body shaming yg kurus? bitch get some education pls lu mirip sama yg teriak2 anti rasisme di BLM tapi nglakuin reverse racism ke org kulit putih alias bego absolut anj",bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
Habis isi rmh lu bego digasak maling haha,bego lu
lu pura2 kga tau apa emg bego seh?,bego lu
Lu berdua bego ,bego lu
"Mencoba buat percaya kembali, eh malah di sia2in. Lu bego apa goblok?",bego lu
"tmi pas produknya aku bawa pulang terus adekku liat first impression dia adalah ""lu jual itu 15 ribu??? rugi bego lu mahalin dikit napa"" ",bego lu
Anying lu kenapa bego nya gk ilang sih anjir pinset,bego lu
"""kok lu nyuruh2 gw sii ??"" . HEH BGST KAN ELU YANG PERLU DUIT YA USAHA SENDIRI LAH ITU JUGA NGAPAIN NYURUH2 SI SENDER GUNAIN UANG SUAMINYA EMANG BEGO NI MAKHLUK HIDUP BEGINI KESEL. maap ngegas :"" terima kasih",bego lu
"you can do it. segala sesuatu gak semuanya berjalan dengan lancar, terima dengan lapang dada. keluar dari zona nyaman lu sesekali, jangan diem aja bego. lu pasti bisa! ",bego lu
Emang bego lu,bego lu
"Terus dengan dalih ""sasaeng fans bukan keluarga! Jangan sebut mereka fans!"" Lah terus lu mau management nya mesti gimana? Nggak mungkin juga nyablak ""meReKa buKan FanS! Kami SeBagai ManaGement sangAt MengUtuk perIlaKu StaLkiNG"". Kalo sampe ngomong gitu, ya bego ",bego lu
"Capek bat bacain cocoklogi nya, mv ini sama mv ini, terus mrk berharap ada yg kembali. Dan disaat nggak bisa balik krn bikin grup baru mrk malah marah2.. Yg berekspetasi siapa yg disalahin siapa.. Salahin ekspetasi lu lah, berharap boleh, bego jgn.",bego lu
Lebay bego lu,bego lu
Bego lu mul mul,bego lu
Dia bego bukan lu,bego lu
"Bego banget, lu ngeluhh ke orang lain pdahal orang lain juga gak peduli masalah lu ",bego lu
Lah cewe mana lagi yg lu bego begoin padiiiiil bngst,bego lu
kek ada yang mau aja lu bego. ,bego lu
PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,bego lu
"paling enek bgt gua orang gada effort, ga ngapa22in juga, tapi sok iye berasa dia paling oke. berasa dia yg punya ide. aduh goblok goblok mandi lu bego. lu tuh cuma banggain2in karya org lain gblk.",bego lu
Gw pernah kehilangan ini. Lu tau kan sakitnya sariawan? Masih sakitan kehilangan tangan lah bego. ,bego lu
lu bego,bego lu
"INI BEGO BGT WEY DAHLAH LU DIEM, JGN BUKA TWT GUE DULU ",bego lu
bego lu ntar nambah muda lu,bego lu
Ngutang pala lu bleduk. Lu pikir warung sekitar rumah lu apa bego,bego lu
lah HEH BOOM PETCH lu pada jan cinlok bego bapak ibu lu pacaran HEEEH,bego lu
Dengan mudahnya dia bilang “Ahh that’s why” anjir lu pura2 bego apa bego betulan siiii,bego lu
YH LU PIKIR BEGO MNA BISA NGUTANG DI SORIBADA. LU PIKIR SORIBADA TEH KANTIN? MIKIR SIA ,bego lu
lu ngajak bego,bego lu
